GPS fix time,GPS Fix Attempt,GPS Latitude,GPS Longitude
04/04/2022 04:34,Resolved QFP,-9.424056,46.196693
04/04/2022 06:09,Resolved QFP,-9.440675,46.162166
04/04/2022 06:33,Resolved QFP,-9.441946,46.152608
04/04/2022 07:02,Resolved QFP,-9.444416,46.141182
04/04/2022 07:32,Resolved QFP,-9.449029,46.129083
04/04/2022 10:12,Resolved QFP,-9.45094,46.066723
04/04/2022 11:08,Resolved QFP,-9.44451,46.045527
04/04/2022 11:30,Resolved QFP,-9.441961,46.046357
04/04/2022 15:30,Resolved QFP,-9.424986,45.938418
04/04/2022 17:06,Resolved QFP,-9.417952,45.896272
04/04/2022 18:17,Unresolved QFP,-9.41409,45.860802
04/04/2022 19:19,Resolved QFP,-9.418205,45.842376
04/04/2022 19:49,Resolved QFP,-9.41799,45.832582
04/04/2022 21:36,Resolved QFP,-9.419053,45.798423
11/04/2022 10:10,Resolved QFP,-8.816084,40.691905
11/04/2022 10:45,Resolved QFP,-8.810912,40.671396
11/04/2022 15:32,Unresolved QFP,-8.762041,40.508205
11/04/2022 16:02,Resolved QFP,-8.75848,40.493785
11/04/2022 16:42,Resolved QFP,-8.753688,40.472702
11/04/2022 20:33,Unresolved QFP,-8.743362,40.374405
12/04/2022 01:07,Resolved QFP,-8.711037,40.2329
12/04/2022 02:01,Resolved QFP,-8.698249,40.205783
12/04/2022 05:31,Resolved QFP,-8.642625,40.086969
12/04/2022 06:02,Resolved QFP,-8.635979,40.071811
12/04/2022 09:33,Resolved QFP,-8.570357,39.951611
12/04/2022 14:00,Resolved QFP,-8.485753,39.827538
12/04/2022 16:03,Resolved QFP,-8.436327,39.770814
12/04/2022 18:01,Unresolved QFP,-8.411049,39.715719
12/04/2022 19:01,Unresolved QFP,-8.395897,39.688201
12/04/2022 20:30,Resolved QFP,-8.379253,39.64636
12/04/2022 21:14,Unresolved QFP,-8.373458,39.626876
13/04/2022 06:14,Resolved QFP,-8.22403,39.613429
13/04/2022 06:45,Resolved QFP,-8.219739,39.604814
13/04/2022 08:19,Resolved QFP,-8.225288,39.586439
13/04/2022 08:45,Unresolved QFP,-8.228068,39.585322
13/04/2022 10:04,Resolved QFP,-8.230322,39.572149
13/04/2022 11:55,Resolved QFP,-8.221977,39.56926
13/04/2022 12:21,Unresolved QFP,-8.2215,39.568972
13/04/2022 12:55,Resolved QFP,-8.226704,39.57039
13/04/2022 13:56,Resolved QFP,-8.22822,39.578808
13/04/2022 14:25,Resolved QFP,-8.228634,39.582582
13/04/2022 14:54,Resolved QFP,-8.228177,39.587222
13/04/2022 15:22,Resolved QFP,-8.229743,39.589373
13/04/2022 17:01,Resolved QFP,-8.229777,39.592016
13/04/2022 20:09,Resolved QFP,-8.229032,39.592917
13/04/2022 22:26,Resolved QFP (Uncertain),-8.227908,39.590891
13/04/2022 23:36,Unresolved QFP,-8.228779,39.59151
14/04/2022 00:48,Resolved QFP,-8.228873,39.588626
14/04/2022 02:06,Resolved QFP,-8.229857,39.588847
14/04/2022 04:04,Unresolved QFP,-8.22786,39.586215
14/04/2022 08:42,Resolved QFP,-8.220259,39.569499
14/04/2022 09:07,Resolved QFP,-8.222818,39.571679
14/04/2022 09:34,Resolved QFP,-8.223999,39.572837
14/04/2022 10:15,Resolved QFP,-8.228249,39.574177
14/04/2022 10:36,Resolved QFP,-8.230712,39.577079
14/04/2022 11:03,Resolved QFP,-8.231634,39.58048
14/04/2022 11:30,Resolved QFP,-8.229791,39.583365
14/04/2022 12:30,Resolved QFP,-8.227625,39.587563
16/04/2022 07:00,Resolved QFP,-8.216146,39.585518
16/04/2022 08:13,Resolved QFP (Uncertain),-8.218794,39.577816
16/04/2022 09:48,Resolved QFP,-8.22962,39.572671
16/04/2022 10:54,Resolved QFP,-8.228731,39.572513
16/04/2022 11:32,Resolved QFP (Uncertain),-8.223185,39.570382
16/04/2022 12:07,Resolved QFP,-8.227068,39.572858
16/04/2022 13:03,Resolved QFP (Uncertain),-8.228995,39.578811
17/04/2022 20:46,Resolved QFP,-8.229459,39.592931
17/04/2022 22:42,Resolved QFP (Uncertain),-8.229925,39.591778
17/04/2022 23:39,Resolved QFP,-8.229391,39.592122
18/04/2022 00:40,Resolved QFP,-8.229968,39.588505
18/04/2022 03:59,Resolved QFP (Uncertain),-8.22881,39.573506
18/04/2022 04:46,Resolved QFP,-8.223417,39.573777
18/04/2022 05:37,Resolved QFP,-8.221666,39.574478
18/04/2022 06:41,Resolved QFP (Uncertain),-8.217797,39.575663
18/04/2022 07:50,Resolved QFP,-8.216061,39.570529
18/04/2022 08:19,Resolved QFP,-8.218539,39.570418
18/04/2022 09:55,Resolved QFP (Uncertain),-8.222146,39.577256
18/04/2022 10:31,Resolved QFP,-8.223341,39.579626
18/04/2022 11:31,Resolved QFP,-8.225849,39.5799
18/04/2022 12:58,Resolved QFP,-8.228255,39.583904
18/04/2022 13:33,Resolved QFP,-8.228077,39.585799
18/04/2022 14:08,Resolved QFP,-8.228849,39.587001
18/04/2022 15:53,Resolved QFP (Uncertain),-8.230579,39.591066
18/04/2022 16:53,Resolved QFP,-8.230751,39.591394
18/04/2022 18:00,Resolved QFP,-8.230639,39.592548
18/04/2022 19:39,Resolved QFP,-8.229209,39.592881
18/04/2022 21:01,Resolved QFP,-8.229292,39.592419
18/04/2022 22:57,Resolved QFP,-8.229599,39.592204
18/04/2022 23:55,Resolved QFP,-8.229409,39.591514
19/04/2022 01:42,Resolved QFP,-8.228593,39.584595
