GPS fix time,GPS Fix Attempt,GPS Latitude,GPS Longitude
30/04/2022 22:30,Resolved QFP,-9.391167,46.203264
03/05/2022 10:32,Unresolved QFP,-10.839452,45.37362
03/05/2022 17:04,Resolved QFP (Uncertain),-11.088264,45.238065
03/05/2022 18:17,Unresolved QFP,-11.134195,45.227316
03/05/2022 20:30,Resolved QFP (Uncertain),-11.221484,45.213476
03/05/2022 21:00,Resolved QFP,-11.239744,45.217876
04/05/2022 00:33,Resolved QFP,-11.350992,45.25707
04/05/2022 01:04,Unresolved QFP,-11.365015,45.263618
04/05/2022 02:05,Unresolved QFP,-11.395448,45.281123
04/05/2022 05:32,Resolved QFP,-11.466705,45.372811
09/05/2022 07:35,Resolved QFP,-13.185836,48.399165
09/05/2022 12:47,Resolved QFP,-13.165385,48.535853
09/05/2022 16:40,Resolved QFP,-13.14688,48.630399
09/05/2022 21:07,Unresolved QFP,-13.06257,48.710871
10/05/2022 00:08,Resolved QFP,-13.006352,48.753988
10/05/2022 00:40,Resolved QFP,-12.998492,48.757677
10/05/2022 20:49,Resolved QFP,-12.59416,48.829677
10/05/2022 22:52,Resolved QFP,-12.581577,48.82027
10/05/2022 23:03,Resolved QFP,-12.5785,48.81982
11/05/2022 00:14,Resolved QFP,-12.55119,48.805249
11/05/2022 03:23,Unresolved QFP,-12.506474,48.77181
11/05/2022 04:41,Resolved QFP,-12.475617,48.756735
11/05/2022 07:40,Resolved QFP,-12.46344,48.718208
11/05/2022 08:00,Resolved QFP,-12.461015,48.716743
11/05/2022 08:44,Resolved QFP,-12.448871,48.716629
11/05/2022 14:10,Resolved QFP,-12.371886,48.781294
11/05/2022 14:37,Resolved QFP (Uncertain),-12.372879,48.793235
11/05/2022 19:13,Resolved QFP (Uncertain),-12.410436,48.860543
12/05/2022 03:01,Resolved QFP,-12.343695,48.934215
12/05/2022 06:21,Resolved QFP,-12.286457,48.932915
12/05/2022 06:42,Resolved QFP,-12.278022,48.93497
12/05/2022 08:33,Resolved QFP,-12.25511,48.956447
12/05/2022 09:01,Resolved QFP (Uncertain),-12.250952,48.961974
12/05/2022 11:03,Resolved QFP,-12.234667,49.001319
12/05/2022 13:07,Resolved QFP,-12.198426,49.013029
12/05/2022 13:32,Resolved QFP,-12.191449,49.017749
12/05/2022 14:54,Resolved QFP,-12.17329,49.029653
12/05/2022 16:42,Resolved QFP,-12.180709,49.049075
12/05/2022 20:11,Resolved QFP,-12.19027,49.124541
12/05/2022 22:44,Unresolved QFP,-12.165425,49.154023
13/05/2022 01:02,Resolved QFP,-12.149947,49.172008
13/05/2022 04:57,Resolved QFP,-12.117544,49.102807
13/05/2022 05:00,Resolved QFP (Uncertain),-12.117495,49.102549
13/05/2022 08:00,Resolved QFP,-12.106112,49.074566
13/05/2022 09:14,Resolved QFP,-12.086456,49.080185
13/05/2022 10:22,Resolved QFP,-12.077477,49.097711
13/05/2022 13:34,Resolved QFP,-12.047532,49.160113
13/05/2022 14:00,Resolved QFP,-12.041674,49.162368
13/05/2022 15:51,Resolved QFP,-12.014625,49.181289
13/05/2022 16:45,Resolved QFP (Uncertain),-12.001893,49.19376
13/05/2022 17:05,Resolved QFP,-11.997508,49.197118
13/05/2022 18:12,Resolved QFP,-11.987617,49.208356
13/05/2022 18:30,Resolved QFP,-11.988585,49.207368
13/05/2022 19:00,Resolved QFP,-11.988961,49.207434
15/05/2022 00:59,Resolved QFP,-12.327913,49.425857
15/05/2022 08:12,Resolved QFP,-12.373418,49.543709
15/05/2022 09:05,Resolved QFP (Uncertain),-12.388123,49.550266
15/05/2022 12:08,Resolved QFP,-12.444574,49.5676
15/05/2022 18:03,Resolved QFP,-12.555287,49.585785
16/05/2022 04:46,Resolved QFP,-12.664439,49.640253
16/05/2022 09:10,Unresolved QFP,-12.676958,49.635452
16/05/2022 19:08,Resolved QFP,-12.688705,49.64431
16/05/2022 22:06,Resolved QFP,-12.690927,49.649698
17/05/2022 03:29,Resolved QFP,-12.672328,49.630588
17/05/2022 05:40,Resolved QFP,-12.673183,49.62651
17/05/2022 06:32,Resolved QFP,-12.67309,49.626568
17/05/2022 18:12,Resolved QFP,-12.679717,49.637736
18/05/2022 23:25,Resolved QFP,-12.66687,49.642461
19/05/2022 01:03,Resolved QFP (Uncertain),-12.672686,49.625726
19/05/2022 03:00,Resolved QFP,-12.667733,49.630168
19/05/2022 05:25,Resolved QFP,-12.664286,49.638847
19/05/2022 07:00,Resolved QFP,-12.673217,49.633461
19/05/2022 08:05,Resolved QFP,-12.673216,49.633506
19/05/2022 19:21,Resolved QFP,-12.693585,49.641555
24/05/2022 08:38,Resolved QFP,-12.673519,49.626905
24/05/2022 09:59,Resolved QFP (Uncertain),-12.6735,49.626745
24/05/2022 10:45,Resolved QFP,-12.673583,49.627195
24/05/2022 11:33,Resolved QFP,-12.673743,49.627122
24/05/2022 12:10,Resolved QFP,-12.673768,49.627151
24/05/2022 19:10,Resolved QFP (Uncertain),-12.690817,49.649821
24/05/2022 23:15,Resolved QFP,-12.690841,49.649618
29/05/2022 11:52,Resolved QFP,-12.672594,49.62582
29/05/2022 12:46,Resolved QFP,-12.672651,49.625911
29/05/2022 13:43,Resolved QFP,-12.672782,49.625999
29/05/2022 14:37,Resolved QFP,-12.672695,49.625961
29/05/2022 15:33,Resolved QFP,-12.672933,49.625804
29/05/2022 16:33,Resolved QFP,-12.672682,49.625818
29/05/2022 17:37,Resolved QFP,-12.672728,49.625882
02/06/2022 08:00,Unresolved QFP,-12.672299,49.624491
02/06/2022 21:09,Unresolved QFP,-12.674675,49.628907
03/06/2022 00:18,Resolved QFP,-12.6728,49.626049
03/06/2022 05:30,Resolved QFP,-12.667279,49.63124
03/06/2022 06:13,Resolved QFP (Uncertain),-12.671005,49.631402
06/06/2022 01:46,Resolved QFP,-12.672717,49.625979
06/06/2022 02:49,Resolved QFP,-12.672611,49.625982
06/06/2022 03:50,Resolved QFP,-12.673222,49.62559
06/06/2022 07:43,Unresolved QFP,-12.672817,49.626039
06/06/2022 08:33,Resolved QFP,-12.672703,49.625953
06/06/2022 09:28,Resolved QFP (Uncertain),-12.672901,49.626267
06/06/2022 11:08,Resolved QFP,-12.672799,49.625946
06/06/2022 14:12,Unresolved QFP,-12.676629,49.635147
07/06/2022 01:07,Resolved QFP,-12.674451,49.628692
07/06/2022 03:04,Resolved QFP,-12.672775,49.626016
07/06/2022 04:00,Resolved QFP,-12.67265,49.626028
07/06/2022 05:00,Resolved QFP,-12.672739,49.625962
07/06/2022 08:41,Resolved QFP,-12.672695,49.625857
07/06/2022 11:29,Resolved QFP,-12.672723,49.625939
07/06/2022 16:39,Resolved QFP,-12.672537,49.625634
07/06/2022 17:35,Unresolved QFP,-12.672545,49.625959
07/06/2022 18:30,Resolved QFP (Uncertain),-12.672733,49.62596
07/06/2022 19:27,Resolved QFP,-12.672747,49.625927
07/06/2022 20:28,Resolved QFP,-12.672811,49.625915
07/06/2022 21:31,Resolved QFP,-12.672851,49.625924
07/06/2022 22:38,Resolved QFP,-12.672836,49.625859
08/06/2022 00:55,Resolved QFP,-12.672854,49.625843
08/06/2022 04:08,Resolved QFP,-12.672682,49.625756
08/06/2022 05:06,Resolved QFP,-12.672657,49.625934
08/06/2022 06:02,Resolved QFP,-12.670316,49.624106
09/06/2022 15:40,Resolved QFP,-12.672774,49.625968
09/06/2022 16:39,Resolved QFP,-12.673215,49.626518
10/06/2022 01:39,Resolved QFP,-12.675358,49.629933
10/06/2022 02:33,Resolved QFP,-12.673132,49.626265
10/06/2022 03:18,Resolved QFP,-12.672686,49.625666
10/06/2022 07:00,Resolved QFP,-12.672511,49.626269
10/06/2022 08:41,Resolved QFP,-12.673101,49.626343
10/06/2022 09:24,Resolved QFP,-12.67268,49.625904
10/06/2022 12:04,Resolved QFP,-12.672862,49.625968
10/06/2022 14:30,Resolved QFP,-12.672732,49.626052
10/06/2022 15:29,Resolved QFP,-12.672498,49.625817
10/06/2022 16:25,Resolved QFP,-12.672676,49.625896
11/06/2022 03:10,Resolved QFP,-12.666807,49.627896
11/06/2022 04:14,Resolved QFP,-12.666629,49.623033
11/06/2022 05:19,Resolved QFP,-12.670946,49.623547
11/06/2022 06:22,Resolved QFP,-12.670888,49.623534
11/06/2022 07:04,Unresolved QFP,-12.67075,49.623976
11/06/2022 09:11,Resolved QFP,-12.671141,49.623844
11/06/2022 10:07,Resolved QFP,-12.672489,49.625123
11/06/2022 11:32,Resolved QFP,-12.672728,49.625873
11/06/2022 14:04,Resolved QFP,-12.67278,49.62616
11/06/2022 15:01,Resolved QFP,-12.672632,49.626008
11/06/2022 16:00,Resolved QFP,-12.672797,49.625925
11/06/2022 17:01,Resolved QFP,-12.672519,49.626084
12/06/2022 04:14,Resolved QFP,-12.672819,49.625898
12/06/2022 07:00,Resolved QFP,-12.672919,49.626163
12/06/2022 08:42,Resolved QFP,-12.672712,49.626009
12/06/2022 09:27,Resolved QFP,-12.672251,49.625612
12/06/2022 12:03,Resolved QFP,-12.672641,49.625971
12/06/2022 13:47,Resolved QFP,-12.67277,49.625807
12/06/2022 15:32,Resolved QFP,-12.672767,49.625957
12/06/2022 16:35,Resolved QFP,-12.672615,49.625865
12/06/2022 17:25,Resolved QFP (Uncertain),-12.67253,49.626251
13/06/2022 03:45,Resolved QFP,-12.655281,49.638859
13/06/2022 04:36,Resolved QFP (Uncertain),-12.65867,49.64007
13/06/2022 05:16,Resolved QFP,-12.66563,49.636347
13/06/2022 06:13,Resolved QFP,-12.673069,49.62918
13/06/2022 10:05,Resolved QFP,-12.672711,49.625851
13/06/2022 11:00,Resolved QFP,-12.672454,49.626089
13/06/2022 12:51,Resolved QFP,-12.676674,49.624366
13/06/2022 13:43,Resolved QFP,-12.672665,49.626159
13/06/2022 15:27,Resolved QFP,-12.673116,49.625561
13/06/2022 16:23,Resolved QFP,-12.672794,49.625836
13/06/2022 17:15,Resolved QFP (Uncertain),-12.673025,49.625909
13/06/2022 18:07,Resolved QFP,-12.672838,49.626021
13/06/2022 19:00,Resolved QFP,-12.672717,49.62612
13/06/2022 20:42,Resolved QFP,-12.672835,49.62586
13/06/2022 21:39,Resolved QFP,-12.672743,49.625946
13/06/2022 22:39,Resolved QFP,-12.672829,49.626141
13/06/2022 23:39,Resolved QFP,-12.672606,49.62608
14/06/2022 00:38,Resolved QFP,-12.672755,49.625887
22/06/2022 15:16,Resolved QFP,-12.677292,49.63561
23/06/2022 00:58,Resolved QFP,-12.673358,49.62698
23/06/2022 01:52,Resolved QFP,-12.672721,49.625835
23/06/2022 02:54,Resolved QFP,-12.67246,49.625728
23/06/2022 03:43,Resolved QFP,-12.662738,49.628801
23/06/2022 04:58,Resolved QFP,-12.662872,49.627568
23/06/2022 05:44,Resolved QFP,-12.666054,49.62542
23/06/2022 06:58,Resolved QFP,-12.670978,49.623647
23/06/2022 07:44,Resolved QFP,-12.670957,49.623502
23/06/2022 08:52,Resolved QFP,-12.672553,49.62598
23/06/2022 09:46,Resolved QFP,-12.672649,49.625887
23/06/2022 10:41,Resolved QFP,-12.672731,49.625864
23/06/2022 11:35,Resolved QFP (Uncertain),-12.672769,49.6257
23/06/2022 12:35,Resolved QFP (Uncertain),-12.672404,49.62737
23/06/2022 13:29,Resolved QFP,-12.672901,49.625985
23/06/2022 14:22,Resolved QFP (Uncertain),-12.672704,49.626242
23/06/2022 15:17,Resolved QFP,-12.672822,49.625978
23/06/2022 16:16,Resolved QFP,-12.672739,49.625904
23/06/2022 17:16,Resolved QFP,-12.673093,49.62615
24/06/2022 01:54,Resolved QFP,-12.674204,49.632034
24/06/2022 02:49,Resolved QFP (Uncertain),-12.666331,49.629922
24/06/2022 04:24,Resolved QFP (Uncertain),-12.65302,49.637657
24/06/2022 05:06,Resolved QFP (Uncertain),-12.658034,49.633156
24/06/2022 06:54,Resolved QFP,-12.674581,49.628622
24/06/2022 07:20,Resolved QFP,-12.675058,49.628999
24/06/2022 12:39,Resolved QFP,-12.676917,49.635495
25/06/2022 02:44,Resolved QFP,-12.668226,49.632351
25/06/2022 03:51,Resolved QFP (Uncertain),-12.655246,49.639729
25/06/2022 04:19,Resolved QFP,-12.657342,49.637736
25/06/2022 05:43,Resolved QFP,-12.666921,49.629845
25/06/2022 06:48,Resolved QFP,-12.673503,49.630284
25/06/2022 07:20,Resolved QFP,-12.674644,49.628378
25/06/2022 08:12,Resolved QFP,-12.673578,49.627285
25/06/2022 09:04,Resolved QFP,-12.673727,49.627363
25/06/2022 10:31,Resolved QFP,-12.673605,49.626775
25/06/2022 15:38,Resolved QFP,-12.672726,49.625957
25/06/2022 16:38,Resolved QFP,-12.672903,49.625904
25/06/2022 17:38,Resolved QFP,-12.672776,49.626119
25/06/2022 18:35,Resolved QFP,-12.672696,49.626116
26/06/2022 04:01,Unresolved QFP,-12.65691,49.635488
26/06/2022 07:34,Resolved QFP,-12.673781,49.627614
26/06/2022 08:19,Resolved QFP,-12.673594,49.62709
26/06/2022 09:13,Resolved QFP,-12.67379,49.627188
26/06/2022 10:00,Resolved QFP,-12.67287,49.628251
26/06/2022 13:02,Resolved QFP,-12.672811,49.625997
26/06/2022 14:17,Resolved QFP,-12.672553,49.625874
26/06/2022 15:16,Resolved QFP,-12.67286,49.625889
26/06/2022 16:17,Resolved QFP,-12.672717,49.625926
26/06/2022 18:05,Resolved QFP,-12.672806,49.626016
26/06/2022 19:03,Resolved QFP,-12.672766,49.626035
26/06/2022 20:56,Resolved QFP (Uncertain),-12.673035,49.625696
26/06/2022 21:00,Resolved QFP (Uncertain),-12.672891,49.625977
26/06/2022 22:53,Resolved QFP,-12.6727,49.626061
