GPS fix time,GPS Fix Attempt,GPS Latitude,GPS Longitude
04/04/2022 06:11,Resolved QFP,-9.486761,46.227192
04/04/2022 06:30,Resolved QFP,-9.494963,46.230188
04/04/2022 08:55,Resolved QFP (Uncertain),-9.551135,46.222143
04/04/2022 09:00,Resolved QFP,-9.550409,46.221469
04/04/2022 09:36,Resolved QFP (Uncertain),-9.5533,46.21292
04/04/2022 10:04,Resolved QFP,-9.564184,46.206567
04/04/2022 11:18,Resolved QFP,-9.597703,46.186121
04/04/2022 11:52,Resolved QFP,-9.616332,46.177741
04/04/2022 12:31,Resolved QFP,-9.638561,46.168157
04/04/2022 13:10,Resolved QFP,-9.659743,46.161721
04/04/2022 14:03,Resolved QFP,-9.687911,46.15578
04/04/2022 16:07,Resolved QFP,-9.743118,46.149969
04/04/2022 19:05,Resolved QFP,-9.773855,46.122847
04/04/2022 19:45,Resolved QFP,-9.779734,46.111201
04/04/2022 20:38,Resolved QFP,-9.791727,46.097771
07/04/2022 17:03,Resolved QFP,-11.146586,44.82469
07/04/2022 17:46,Unresolved QFP,-11.1593,44.806816
07/04/2022 18:31,Resolved QFP,-11.170649,44.790224
07/04/2022 19:09,Resolved QFP,-11.179388,44.778104
07/04/2022 19:49,Resolved QFP,-11.18421,44.767478
07/04/2022 20:31,Resolved QFP,-11.186758,44.760307
07/04/2022 21:51,Resolved QFP,-11.210777,44.736299
07/04/2022 22:33,Resolved QFP,-11.22317,44.721548
07/04/2022 23:10,Resolved QFP,-11.233104,44.713026
08/04/2022 00:36,Resolved QFP,-11.263728,44.68257
09/04/2022 06:59,Resolved QFP (Uncertain),-11.945981,44.791462
09/04/2022 07:28,Resolved QFP,-11.949175,44.800632
09/04/2022 07:32,Resolved QFP,-11.948799,44.801553
09/04/2022 08:30,Resolved QFP,-11.943247,44.816644
09/04/2022 09:00,Unresolved QFP,-11.946239,44.823308
09/04/2022 10:31,Resolved QFP,-11.947686,44.861233
09/04/2022 11:31,Unresolved QFP,-11.957965,44.884197
09/04/2022 13:07,Unresolved QFP,-11.978545,44.924321
09/04/2022 14:32,Resolved QFP,-11.988702,44.959605
09/04/2022 15:47,Resolved QFP,-12.004925,44.980583
09/04/2022 16:19,Resolved QFP,-12.01466,44.983347
09/04/2022 17:05,Resolved QFP,-12.026727,44.991735
09/04/2022 18:23,Resolved QFP,-12.046248,45.006189
09/04/2022 18:30,Resolved QFP,-12.045804,45.006179
09/04/2022 19:00,Resolved QFP,-12.04459,45.005017
09/04/2022 20:20,Resolved QFP,-12.072407,45.008265
09/04/2022 20:53,Resolved QFP,-12.085572,45.010121
09/04/2022 21:00,Resolved QFP,-12.088403,45.010417
09/04/2022 23:32,Resolved QFP (Uncertain),-12.152308,45.028461
10/04/2022 00:20,Resolved QFP,-12.170893,45.037307
10/04/2022 02:00,Resolved QFP,-12.204816,45.052914
10/04/2022 02:34,Resolved QFP,-12.218,45.059034
10/04/2022 03:48,Resolved QFP,-12.240365,45.074408
10/04/2022 04:30,Resolved QFP,-12.249814,45.082563
10/04/2022 05:01,Resolved QFP,-12.255765,45.086453
10/04/2022 06:09,Resolved QFP,-12.275825,45.10433
10/04/2022 07:14,Resolved QFP,-12.298182,45.120084
10/04/2022 08:15,Resolved QFP,-12.319279,45.136127
10/04/2022 08:40,Resolved QFP,-12.327864,45.142873
10/04/2022 10:33,Resolved QFP,-12.362121,45.17958
10/04/2022 11:32,Resolved QFP,-12.378232,45.195607
10/04/2022 13:06,Resolved QFP (Uncertain),-12.390449,45.20678
10/04/2022 17:20,Unresolved QFP,-12.484335,45.262603
10/04/2022 18:27,Resolved QFP,-12.52064,45.271699
10/04/2022 18:57,Unresolved QFP,-12.535717,45.2681
10/04/2022 19:32,Resolved QFP,-12.553867,45.280349
10/04/2022 20:02,Resolved QFP,-12.56965,45.28262
