GPS fix time,GPS Fix Attempt,GPS Latitude,GPS Longitude
29/01/2022 00:26,Succeeded,-9.3935,46.203725
29/01/2022 01:00,Resolved QFP,-9.393409,46.203705
29/01/2022 01:30,Resolved QFP,-9.393487,46.203729
29/01/2022 02:00,Resolved QFP,-9.393392,46.203551
29/01/2022 02:39,Resolved QFP,-9.391227,46.20008
29/01/2022 08:10,Resolved QFP,-9.382373,46.203771
29/01/2022 09:44,Resolved QFP,-9.38225,46.204035
29/01/2022 10:38,Resolved QFP,-9.381257,46.204475
29/01/2022 12:27,Resolved QFP,-9.374581,46.205021
29/01/2022 14:30,Resolved QFP,-9.400961,46.199935
29/01/2022 15:30,Resolved QFP,-9.419611,46.203373
29/01/2022 16:36,Resolved QFP (Uncertain),-9.424364,46.204215
29/01/2022 19:42,Resolved QFP,-9.425048,46.204331
29/01/2022 20:13,Resolved QFP,-9.425302,46.204522
29/01/2022 21:38,Resolved QFP,-9.427724,46.205025
29/01/2022 23:04,Resolved QFP,-9.426785,46.205644
29/01/2022 23:31,Resolved QFP,-9.425276,46.204803
30/01/2022 02:30,Resolved QFP,-9.427147,46.205028
30/01/2022 03:06,Resolved QFP,-9.427371,46.205132
30/01/2022 05:19,Resolved QFP,-9.428339,46.204277
30/01/2022 09:38,Resolved QFP,-9.432315,46.205821
30/01/2022 10:34,Resolved QFP,-9.433925,46.206202
30/01/2022 11:05,Resolved QFP,-9.432853,46.206028
30/01/2022 12:14,Resolved QFP (Uncertain),-9.432275,46.205409
30/01/2022 13:38,Resolved QFP,-9.420913,46.203747
30/01/2022 14:28,Resolved QFP,-9.420489,46.203609
30/01/2022 15:02,Resolved QFP,-9.424607,46.203819
30/01/2022 15:45,Resolved QFP,-9.430694,46.205369
30/01/2022 20:09,Resolved QFP,-9.430826,46.205968
30/01/2022 22:56,Resolved QFP,-9.431956,46.20613
31/01/2022 01:03,Resolved QFP,-9.431753,46.206572
31/01/2022 01:33,Resolved QFP,-9.431645,46.206849
31/01/2022 02:40,Resolved QFP,-9.431851,46.206268
31/01/2022 04:18,Resolved QFP,-9.434886,46.205774
31/01/2022 05:01,Resolved QFP,-9.438178,46.206968
31/01/2022 05:33,Resolved QFP,-9.438702,46.207903
31/01/2022 07:05,Resolved QFP,-9.439269,46.208094
31/01/2022 08:26,Resolved QFP,-9.43841,46.208098
31/01/2022 08:52,Resolved QFP (Uncertain),-9.437949,46.207645
31/01/2022 09:13,Resolved QFP,-9.434873,46.206343
31/01/2022 09:44,Resolved QFP,-9.431612,46.204994
31/01/2022 10:00,Resolved QFP,-9.431023,46.205129
06/02/2022 23:31,Resolved QFP,-9.394061,46.199865
07/02/2022 00:20,Resolved QFP,-9.393639,46.199724
07/02/2022 00:37,Resolved QFP,-9.393324,46.200147
07/02/2022 07:12,Resolved QFP,-9.389239,46.19967
07/02/2022 08:41,Resolved QFP,-9.386106,46.199606
07/02/2022 12:57,Resolved QFP,-9.382222,46.203673
07/02/2022 14:56,Resolved QFP,-9.382302,46.203908
07/02/2022 15:00,Resolved QFP,-9.382252,46.204174
07/02/2022 16:47,Resolved QFP,-9.394234,46.203737
07/02/2022 17:00,Resolved QFP,-9.394219,46.203989
07/02/2022 18:09,Resolved QFP,-9.395639,46.203163
07/02/2022 20:43,Resolved QFP,-9.393212,46.200693
07/02/2022 21:36,Resolved QFP,-9.3931,46.200301
08/02/2022 00:45,Resolved QFP,-9.392955,46.200442
08/02/2022 01:04,Resolved QFP,-9.393129,46.200495
08/02/2022 02:31,Resolved QFP,-9.391036,46.200576
08/02/2022 03:01,Resolved QFP,-9.390227,46.200412
08/02/2022 04:21,Resolved QFP,-9.388227,46.200416
