"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Cm Tessa",226013,7314,-9.38682,46.20516,3,03/23/2022 18:56:19,Argos,0,437,NN,,401677188,03/23/2022 18:55:37,4,11,0,-123,401677188,46.20516,-9.38682,46.20516,-9.38682,56,2,134,420,42,72,201,116,251,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,-9.38682,46.20516,3,03/23/2022 18:56:19,Argos,0,437,NN,,401677188,03/23/2022 18:58:30,3,11,0,-123,401677188,46.20516,-9.38682,46.20516,-9.38682,56,2,134,420,42,72,201,84,219,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,-9.38682,46.20516,3,03/23/2022 18:56:19,Argos,0,437,NN,,401677188,03/23/2022 18:59:54,4,11,0,-123,401677188,46.20516,-9.38682,46.20516,-9.38682,56,2,134,420,42,72,201,84,235,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,,,,,,,95,MB,,401650000,03/23/2022 19:22:25,1,2,,,401650000,,,,,,,,,,,,84,123,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,,,,,,,95,MB,,401650000,03/23/2022 19:24:00,1,2,,,401650000,,,,,,,,,,,,116,123,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,-9.37486,46.20974,B,03/23/2022 20:17:08,Argos,0,0,MC,,401677191.52,03/23/2022 20:17:08,1,1,0,-132,401677191.52,46.20974,-9.37486,46.20974,-9.37486,8,3,1380,1470,1294,74,3410,115,186,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,-9.40196,46.20663,0,03/23/2022 20:39:46,Argos,0,464,NN,,401677206.3,03/23/2022 20:35:06,1,10,0,-130,401677206.3,46.20663,-9.40196,46.20663,-9.40196,46,3,1697,3542,813,17,510,83,154,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,-9.40196,46.20663,0,03/23/2022 20:39:46,Argos,0,464,NN,,401677206.3,03/23/2022 20:38:08,1,10,0,-130,401677206.3,46.20663,-9.40196,46.20663,-9.40196,46,3,1697,3542,813,17,510,115,170,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,-9.40196,46.20663,0,03/23/2022 20:39:46,Argos,0,464,NN,,401677206.3,03/23/2022 20:42:50,8,10,0,-130,401677206.3,46.20663,-9.40196,46.20663,-9.40196,46,3,1697,3542,813,17,510,83,138,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Tessa",226013,7314,-9.35388,46.2246,B,03/24/2022 03:33:41,Argos,0,0,SR,,401677199.02,03/24/2022 03:33:42,1,1,0,-130,401677199.02,46.2246,-9.35388,46.2246,-9.35388,8,3,22258,27788,17828,116,7169,224,0,0,4,7,0,20,39,0,20,37,0,20,35,0,20,34,0,20,35,0,20,35,218,190,71,27,,,,,
