"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Cm Atlas",226014,7314,-9.39735,46.19958,3,03/24/2022 18:43:23,Argos,0,326,NN,,401677628.39,03/24/2022 18:42:11,1,8,0,-126,401677628.39,46.19958,-9.39735,46.19958,-9.39735,56,3,177,633,49,66,293,83,74,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.39735,46.19958,3,03/24/2022 18:43:23,Argos,0,326,NN,,401677628.39,03/24/2022 18:43:48,2,8,0,-126,401677628.39,46.19958,-9.39735,46.19958,-9.39735,56,3,177,633,49,66,293,83,90,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.39735,46.19958,3,03/24/2022 18:43:23,Argos,0,326,NN,,401677628.39,03/24/2022 18:45:22,1,8,0,-126,401677628.39,46.19958,-9.39735,46.19958,-9.39735,56,3,177,633,49,66,293,83,74,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.39735,46.19958,3,03/24/2022 18:43:23,Argos,0,326,NN,,401677628.39,03/24/2022 18:46:09,4,8,0,-126,401677628.39,46.19958,-9.39735,46.19958,-9.39735,56,3,177,633,49,66,293,115,90,213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.49309,46.19759,B,03/25/2022 01:39:29,Argos,0,0,A1,,401677584.37,03/25/2022 01:39:30,1,1,0,-135,401677584.37,46.19759,-9.49309,46.19759,-9.49309,8,3,3062,4390,2135,105,6816,224,0,0,4,1,0,19,253,0,131,250,0,163,248,0,147,250,0,147,249,0,179,249,31,57,155,234,,,,,
"Cm Atlas",226014,7314,-9.47686,46.21231,B,03/25/2022 02:55:45,Argos,0,0,SR,,401677539.48,03/25/2022 02:55:45,1,1,0,-128,401677539.48,46.21231,-9.47686,46.21231,-9.47686,8,3,3389,5700,2015,111,8142,224,0,0,4,1,0,179,250,0,67,251,0,227,252,0,195,252,0,179,252,0,179,253,197,236,200,27,,,,,
"Cm Atlas",226014,7314,-9.46139,46.1828,B,03/25/2022 03:13:04,Argos,0,0,A1,,401677547.32,03/25/2022 03:13:04,1,1,0,-130,401677547.32,46.1828,-9.46139,46.1828,-9.46139,6,2,2526,2879,2216,93,6483,83,107,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.4449,46.16792,B,03/25/2022 03:56:17,Argos,0,0,NP,,401677521.52,03/25/2022 03:56:18,1,1,0,-127,401677521.52,46.16792,-9.4449,46.16792,-9.4449,8,3,2051,3206,1312,49,5796,83,107,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.44022,46.1637,B,03/25/2022 04:34:22,Argos,0,0,NK,,401677526.99,03/25/2022 04:34:23,1,1,0,-133,401677526.99,46.1637,-9.44022,46.1637,-9.44022,8,3,2183,3302,1442,47,6168,224,0,0,4,1,0,19,253,0,131,250,0,163,248,0,147,250,0,147,249,0,179,249,206,226,199,178,,,,,
"Cm Atlas",226014,7314,-9.38677,46.17902,B,03/25/2022 06:08:41,Argos,0,0,MB,,401677519.64,03/25/2022 06:08:41,1,1,0,-135,401677519.64,46.17902,-9.38677,46.17902,-9.38677,8,3,1845,4219,806,94,5211,192,0,0,0,5,0,228,12,0,228,1,0,212,0,32,228,21,85,85,85,87,85,85,85,87,118,0,,,,,
"Cm Atlas",226014,7314,-9.37758,46.211,B,03/25/2022 07:38:45,Argos,0,55,NN,,401677538.85,03/25/2022 07:38:18,1,2,0,-127,401677538.85,46.211,-9.37758,46.211,-9.37758,7,3,1676,7499,374,82,4733,115,107,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.37758,46.211,B,03/25/2022 07:38:45,Argos,0,55,NN,,401677538.85,03/25/2022 07:39:14,1,2,0,-127,401677538.85,46.211,-9.37758,46.211,-9.37758,7,3,1676,7499,374,82,4733,224,0,0,3,253,0,116,3,0,180,0,0,179,254,0,179,254,0,179,255,0,211,254,1,118,41,55,,,,,
"Cm Atlas",226014,7314,-9.3946,46.19237,A,03/25/2022 13:54:23,Argos,0,607,SR,,401677548.49,03/25/2022 13:54:23,1,3,0,-129,401677548.49,46.19237,-9.3946,46.19237,-9.3946,8,3,357,1332,95,26,932,224,0,0,3,238,0,131,245,0,163,244,0,163,242,0,163,243,0,163,244,0,163,248,76,80,103,208,,,,,
"Cm Atlas",226014,7314,-9.3946,46.19237,A,03/25/2022 13:54:23,Argos,0,607,SR,,401677548.49,03/25/2022 13:55:59,1,3,0,-129,401677548.49,46.19237,-9.3946,46.19237,-9.3946,8,3,357,1332,95,26,932,224,0,0,3,234,0,163,252,0,163,253,0,163,254,0,147,253,0,147,253,0,3,239,107,25,91,143,,,,,
"Cm Atlas",226014,7314,-9.3946,46.19237,A,03/25/2022 13:54:23,Argos,0,607,SR,,401677548.49,03/25/2022 14:04:30,1,3,0,-129,401677548.49,46.19237,-9.3946,46.19237,-9.3946,8,3,357,1332,95,26,932,224,0,0,3,246,0,195,249,0,195,247,0,195,249,0,179,248,0,195,248,0,179,248,236,77,75,92,,,,,
"Cm Atlas",226014,7314,-9.37944,46.1986,B,03/25/2022 15:43:50,Argos,0,0,SR,,401677540.69,03/25/2022 15:43:50,1,1,0,-133,401677540.69,46.1986,-9.37944,46.1986,-9.37944,8,3,1945,2065,1831,38,4111,115,91,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.35627,46.20577,B,03/25/2022 17:15:29,Argos,0,0,NK,,401677559.75,03/25/2022 17:15:30,1,1,0,-132,401677559.75,46.20577,-9.35627,46.20577,-9.35627,7,3,1931,2108,1769,68,5456,224,0,0,3,214,0,83,223,0,67,226,0,67,226,0,83,230,0,83,230,0,83,230,7,204,230,60,,,,,
"Cm Atlas",226014,7314,-9.3695,46.20378,B,03/25/2022 17:58:11,Argos,0,0,MC,,401677538.77,03/25/2022 17:58:12,1,1,1,-112,401677538.77,46.20378,-9.3695,46.20378,-9.3695,8,3,1967,3266,1184,51,5556,83,139,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.37519,46.20822,B,03/25/2022 18:28:41,Argos,0,101,NN,,401677555.58,03/25/2022 18:27:51,1,2,0,-128,401677555.58,46.20822,-9.37519,46.20822,-9.37519,6,3,1146,4017,326,105,3227,115,139,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.37519,46.20822,B,03/25/2022 18:28:41,Argos,0,101,NN,,401677555.58,03/25/2022 18:29:32,1,2,0,-128,401677555.58,46.20822,-9.37519,46.20822,-9.37519,6,3,1146,4017,326,105,3227,224,0,0,3,226,0,51,235,0,51,255,0,180,6,0,164,5,0,180,7,0,4,3,201,73,242,2,,,,,
"Cm Atlas",226014,7314,-9.36529,46.2238,B,03/25/2022 20:09:43,Argos,0,0,NN,,401677553.64,03/25/2022 20:09:44,1,1,0,-132,401677553.64,46.2238,-9.36529,46.2238,-9.36529,8,3,1661,2156,1279,101,4689,224,0,0,3,248,0,35,249,0,67,247,0,51,247,0,67,245,0,51,244,0,51,241,1,120,165,154,,,,,
"Cm Atlas",226014,7314,-9.36068,46.23863,B,03/26/2022 02:25:34,Argos,0,0,SR,,401677528.47,03/26/2022 02:25:34,1,1,0,-125,401677528.47,46.23863,-9.36068,46.23863,-9.36068,8,3,2851,3674,2212,126,8059,83,75,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.35981,46.11439,A,03/26/2022 04:17:04,Argos,0,111,NK,,401677550.03,03/26/2022 04:15:14,1,3,0,-123,401677550.03,46.11439,-9.35981,46.11439,-9.35981,8,3,6855,239868,195,103,4846,83,91,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.35981,46.11439,A,03/26/2022 04:17:04,Argos,0,111,NK,,401677550.03,03/26/2022 04:16:03,1,3,0,-123,401677550.03,46.11439,-9.35981,46.11439,-9.35981,8,3,6855,239868,195,103,4846,224,0,0,3,255,0,164,2,0,164,1,0,148,2,0,164,1,0,148,2,0,148,2,7,74,11,88,,,,,
"Cm Atlas",226014,7314,-9.38804,46.21385,B,03/26/2022 04:17:04,Argos,0,0,NK,,401677553.27,03/26/2022 04:17:05,1,1,0,-123,401677553.27,46.21385,-9.38804,46.21385,-9.38804,8,3,3025,5333,1716,111,8551,224,0,0,4,0,0,148,1,0,132,2,0,4,2,0,148,2,0,148,1,0,132,2,39,18,172,12,,,,,
"Cm Atlas",226014,7314,-9.38899,46.21033,B,03/26/2022 04:58:26,Argos,0,0,MC,,401677550.94,03/26/2022 04:58:26,1,1,0,-129,401677550.94,46.21033,-9.38899,46.21033,-9.38899,8,2,2899,4202,2000,105,8196,83,91,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.35254,46.13285,B,03/26/2022 07:20:15,Argos,0,0,NN,,401677547.97,03/26/2022 07:20:15,1,1,0,-127,401677547.97,46.13285,-9.35254,46.13285,-9.35254,8,3,6076,8976,4112,116,6058,83,107,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Atlas",226014,7314,-9.38776,46.19814,B,03/26/2022 15:02:32,Argos,0,0,NK,,401677552.6,03/26/2022 15:02:32,1,1,0,-137,401677552.6,46.19814,-9.38776,46.19814,-9.38776,8,3,1830,22741,147,43,5165,115,75,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
