"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Cm Alcora",226015,7314,-9.39151,46.21683,1,03/25/2022 20:10:05,Argos,0,221,NN,,401677234.99,03/25/2022 20:08:26,1,4,0,-126,401677234.99,46.21683,-9.39151,46.21683,-9.39151,58,3,673,1257,360,126,338,224,0,0,3,241,0,3,172,0,3,171,0,3,169,0,3,169,0,3,169,0,3,169,180,209,241,183,,,,,
"Cm Alcora",226015,7314,-9.39151,46.21683,1,03/25/2022 20:10:05,Argos,0,221,NN,,401677234.99,03/25/2022 20:09:03,1,4,0,-126,401677234.99,46.21683,-9.39151,46.21683,-9.39151,58,3,673,1257,360,126,338,83,106,210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Alcora",226015,7314,-9.39151,46.21683,1,03/25/2022 20:10:05,Argos,0,221,NN,,401677234.99,03/25/2022 20:10:47,1,4,0,-126,401677234.99,46.21683,-9.39151,46.21683,-9.39151,58,3,673,1257,360,126,338,224,0,0,3,249,0,3,172,0,3,171,0,3,169,0,3,169,0,3,169,0,3,169,182,76,10,29,,,,,
"Cm Alcora",226015,7314,-9.39151,46.21683,1,03/25/2022 20:10:05,Argos,0,221,NN,,401677234.99,03/25/2022 20:12:07,1,4,0,-126,401677234.99,46.21683,-9.39151,46.21683,-9.39151,58,3,673,1257,360,126,338,224,0,0,3,244,0,3,168,0,3,168,0,3,167,0,3,167,0,3,166,0,3,166,213,56,142,37,,,,,
"Cm Alcora",226015,7314,-9.39151,46.21683,1,03/25/2022 20:10:05,Argos,0,221,NN,,401677234.99,03/25/2022 20:14:23,1,4,0,-126,401677234.99,46.21683,-9.39151,46.21683,-9.39151,58,3,673,1257,360,126,338,224,0,0,3,226,0,51,244,0,67,230,0,3,153,0,3,133,0,3,114,0,3,92,6,75,115,169,,,,,
"Cm Alcora",226015,7314,-9.39151,46.21683,1,03/25/2022 20:10:05,Argos,0,221,NN,,401677234.99,03/25/2022 20:15:17,1,4,0,-126,401677234.99,46.21683,-9.39151,46.21683,-9.39151,58,3,673,1257,360,126,338,224,0,0,3,223,0,3,71,0,3,41,0,3,3,0,2,227,0,2,192,0,2,162,37,133,240,85,,,,,
"Cm Alcora",226015,7314,-9.39151,46.21683,1,03/25/2022 20:10:05,Argos,0,221,NN,,401677234.99,03/25/2022 20:16:48,1,4,0,-126,401677234.99,46.21683,-9.39151,46.21683,-9.39151,58,3,673,1257,360,126,338,224,0,0,3,223,0,2,144,0,2,155,0,2,213,0,3,29,0,3,97,4,131,181,68,12,235,54,,,,,
"Cm Alcora",226015,7314,-9.36949,46.28475,B,03/26/2022 03:00:04,Argos,0,0,A1,,401677239.82,03/26/2022 03:00:05,1,1,0,-122,401677239.82,46.28475,-9.36949,46.28475,-9.36949,8,3,10156,35192,2931,81,5782,224,0,0,4,6,0,195,254,1,188,0,63,132,255,240,7,255,3,254,5,255,177,130,67,90,16,0,,,,,
"Cm Alcora",226015,7314,-9.37523,46.26151,B,03/26/2022 04:05:02,Argos,0,0,SR,,401677272.41,03/26/2022 04:05:02,1,1,0,-133,401677272.41,46.26151,-9.37523,46.26151,-9.37523,6,3,11536,28920,4601,83,7186,224,0,0,3,255,0,116,5,0,4,9,0,68,7,0,36,6,0,84,7,0,84,5,116,41,81,100,,,,,
"Cm Alcora",226015,7314,-9.39452,46.22379,B,03/26/2022 04:17:32,Argos,0,148,NK,,401677263.16,03/26/2022 04:15:04,1,2,0,-124,401677263.16,46.22379,-9.39452,46.22379,-9.39452,6,3,1687,70440,40,103,4759,82,171,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Alcora",226015,7314,-9.37835,46.28328,B,03/26/2022 04:17:32,Argos,0,0,NK,,401677270.42,03/26/2022 04:17:32,1,1,0,-125,401677270.42,46.28328,-9.37835,46.28328,-9.37835,7,3,12424,36129,4272,84,7748,224,0,0,3,255,0,116,5,0,4,9,0,68,7,0,36,6,0,84,7,0,84,5,129,150,235,214,,,,,
