"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Cm Swimmi",226016,7314,-9.38452,46.21044,2,03/16/2022 03:27:49,Argos,0,153,NK,,401677709.96,03/16/2022 03:21:57,1,2,0,-127,401677709.96,46.21044,-9.38452,46.21044,-9.38452,58,3,415,760,226,138,323,192,0,0,0,8,0,3,75,64,3,93,0,3,122,0,3,150,2,3,179,0,3,202,65,12,183,138,,,,,
"Cm Swimmi",226016,7314,-9.38452,46.21044,2,03/16/2022 03:27:49,Argos,0,153,NK,,401677709.96,03/16/2022 03:23:05,1,2,0,-127,401677709.96,46.21044,-9.38452,46.21044,-9.38452,58,3,415,760,226,138,323,224,0,0,4,6,0,3,241,0,4,3,0,4,15,0,4,7,0,3,255,0,3,252,96,0,1,151,,,,,
"Cm Swimmi",226016,7314,-9.38452,46.21044,2,03/16/2022 03:27:49,Argos,0,153,NK,,401677709.96,03/16/2022 03:24:05,1,2,0,-127,401677709.96,46.21044,-9.38452,46.21044,-9.38452,58,3,415,760,226,138,323,224,0,0,4,7,0,3,249,0,3,247,0,3,243,0,3,240,0,3,238,0,3,236,125,172,75,197,,,,,
"Cm Swimmi",226016,7314,-9.38452,46.21044,2,03/16/2022 03:27:49,Argos,0,153,NK,,401677709.96,03/16/2022 03:25:07,1,2,0,-127,401677709.96,46.21044,-9.38452,46.21044,-9.38452,58,3,415,760,226,138,323,224,0,0,4,5,0,3,235,0,3,232,0,3,233,0,3,229,0,3,226,0,3,225,158,151,0,62,,,,,
"Cm Swimmi",226016,7314,-9.28858,46.25909,B,03/16/2022 03:27:49,Argos,0,153,NK,,401677709.96,03/16/2022 03:26:33,1,2,0,-127,401677709.96,46.25909,-9.28858,,,8,3,2440,27904,213,26,3702,224,0,0,4,5,0,3,222,0,3,221,0,3,220,0,3,218,0,3,218,0,3,216,189,119,13,24,,,,,
"Cm Swimmi",226016,7314,-9.28858,46.25909,B,03/16/2022 03:27:49,Argos,0,153,NK,,401677709.96,03/16/2022 03:29:06,1,2,0,-127,401677709.96,46.25909,-9.28858,,,8,3,2440,27904,213,26,3702,224,0,0,4,5,0,3,217,0,3,216,0,3,216,0,3,216,0,3,215,0,3,215,222,48,7,61,,,,,
"Cm Swimmi",226016,7314,-9.2987,46.26741,B,03/16/2022 04:11:57,Argos,0,0,NP,,401677654.4,03/16/2022 04:11:57,1,1,0,-133,401677654.4,46.26741,-9.2987,46.26741,-9.2987,8,3,3095,5927,1616,27,4012,224,0,0,4,5,0,3,222,0,3,221,0,3,220,0,3,218,0,3,218,0,3,216,235,77,62,41,,,,,
"Cm Swimmi",226016,7314,,,,,,,0,SR,,401650000,03/16/2022 04:18:19,1,1,,,401650000,,,,,,,,,,,,115,154,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Swimmi",226016,7314,-9.31013,46.23758,B,03/16/2022 05:06:50,Argos,0,225,NK,,401677688.6,03/16/2022 05:04:58,1,2,0,-126,401677688.6,46.23758,-9.31013,46.23758,-9.31013,6,3,2355,31669,175,20,3380,83,138,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Swimmi",226016,7314,-9.31013,46.23758,B,03/16/2022 05:06:50,Argos,0,225,NK,,401677688.6,03/16/2022 05:08:43,1,2,0,-126,401677688.6,46.23758,-9.31013,46.23758,-9.31013,6,3,2355,31669,175,20,3380,224,0,0,4,6,0,3,75,0,3,93,0,3,122,0,3,150,0,3,179,0,3,202,172,32,39,236,,,,,
"Cm Swimmi",226016,7314,-9.31701,46.23404,B,03/16/2022 05:50:43,Argos,0,0,NP,,401677655.42,03/16/2022 05:50:43,1,1,0,-138,401677655.42,46.23404,-9.31701,46.23404,-9.31701,8,3,3226,6621,1571,21,4305,224,0,0,4,72,1,52,8,1,36,10,0,116,7,0,180,150,0,100,7,1,20,6,64,89,111,119,,,,,
"Cm Swimmi",226016,7314,-9.38436,46.20944,A,03/16/2022 06:05:21,Argos,0,526,NN,,401677645.38,03/16/2022 05:56:36,1,3,0,-129,401677645.38,46.20944,-9.38436,46.20944,-9.38436,6,3,167,193,144,46,368,224,0,0,4,7,0,228,5,0,4,6,0,100,5,4,228,5,0,192,77,0,212,5,100,60,231,137,,,,,
"Cm Swimmi",226016,7314,-9.38436,46.20944,A,03/16/2022 06:05:21,Argos,0,526,NN,,401677645.38,03/16/2022 06:00:34,1,3,0,-129,401677645.38,46.20944,-9.38436,46.20944,-9.38436,6,3,167,193,144,46,368,224,0,0,4,6,0,180,5,0,148,6,0,20,5,1,116,5,0,196,4,0,4,8,134,121,192,114,,,,,
"Cm Swimmi",226016,7314,-9.29106,46.29424,B,03/16/2022 06:05:21,Argos,0,0,NN,,401677688.31,03/16/2022 06:05:22,1,1,0,-129,401677688.31,46.29424,-9.29106,46.29424,-9.29106,7,3,4163,5137,3373,18,5402,83,122,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Swimmi",226016,7314,-9.31621,46.29824,B,03/16/2022 07:40:34,Argos,0,0,NN,,401677706.59,03/16/2022 07:40:34,1,1,0,-126,401677706.59,46.29824,-9.31621,46.29824,-9.31621,7,3,3260,4507,2357,70,7219,224,0,0,4,5,0,228,8,0,164,7,9,20,31,64,244,71,1,52,71,1,4,8,114,246,81,5,,,,,
"Cm Swimmi",226016,7314,-9.29424,46.4307,B,03/16/2022 16:02:23,Argos,0,0,NK,,401677695.73,03/16/2022 16:02:23,1,1,0,-129,401677695.73,46.4307,-9.29424,,,8,3,3719,6409,2158,75,10515,115,154,206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
