"DeployID","Platform ID No.","Prg No.","Latitude","Longitude","Loc. quality","Loc. date","Loc. type","Altitude","Pass","Sat.","Mote Id","Frequency","Msg Date","Comp.","Msg","> - 120 DB","Best level","Delta freq.","Long. 1","Lat. sol. 1","Long. 2","Lat. sol. 2","Loc. idx","Nopc","Error radius","Semi-major axis","Semi-minor axis","Ellipse orientation","GDOP","SENSOR #01","SENSOR #02","SENSOR #03","SENSOR #04","SENSOR #05","SENSOR #06","SENSOR #07","SENSOR #08","SENSOR #09","SENSOR #10","SENSOR #11","SENSOR #12","SENSOR #13","SENSOR #14","SENSOR #15","SENSOR #16","SENSOR #17","SENSOR #18","SENSOR #19","SENSOR #20","SENSOR #21","SENSOR #22","SENSOR #23","SENSOR #24","SENSOR #25","SENSOR #26","SENSOR #27","SENSOR #28","SENSOR #29","SENSOR #30","SENSOR #31","SENSOR #32"
"Cm Akupara",226017,7314,,,,,,,0,SR,,401650000,03/15/2022 03:10:06,1,1,,,401650000,,,,,,,,,,,,116,26,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Akupara",226017,7314,-9.38902,46.20626,A,03/15/2022 03:56:17,Argos,0,603,NK,,401677376.63,03/15/2022 03:48:25,1,3,0,-126,401677376.63,46.20626,-9.38902,46.20626,-9.38902,8,2,183,515,64,130,430,224,0,0,4,2,0,4,13,0,20,12,0,4,10,0,4,10,0,20,8,0,20,7,148,110,22,27,,,,,
"Cm Akupara",226017,7314,-9.38699,46.20169,B,03/15/2022 03:56:17,Argos,0,261,NK,,401677376.14,03/15/2022 03:54:07,1,2,0,-126,401677376.14,46.20169,-9.38699,46.20169,-9.38699,8,2,2758,127606,59,117,7794,224,0,0,4,5,0,4,13,0,20,12,0,4,10,0,4,10,0,20,8,0,20,7,153,55,162,6,,,,,
"Cm Akupara",226017,7314,-9.38699,46.20169,B,03/15/2022 03:56:17,Argos,0,261,NK,,401677376.14,03/15/2022 03:58:28,1,2,0,-126,401677376.14,46.20169,-9.38699,46.20169,-9.38699,8,2,2758,127606,59,117,7794,224,0,0,4,3,0,20,6,0,4,5,0,20,4,0,68,5,0,4,3,0,3,253,188,21,248,195,,,,,
"Cm Akupara",226017,7314,-9.38271,46.19535,B,03/15/2022 05:55:16,Argos,0,0,NP,,401677373.53,03/15/2022 05:55:17,1,1,0,-138,401677373.53,46.19535,-9.38271,46.19535,-9.38271,8,3,3109,9254,1044,116,8789,224,0,0,4,1,0,36,5,0,4,6,0,3,209,0,19,191,0,3,171,0,3,155,155,114,142,122,,,,,
"Cm Akupara",226017,7314,-9.38121,46.19208,B,03/15/2022 06:14:02,Argos,0,116,NN,,401677373.63,03/15/2022 06:13:04,1,2,0,-124,401677373.63,46.19208,-9.38121,46.19208,-9.38121,6,3,1021,8165,127,31,2873,83,90,207,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Cm Akupara",226017,7314,-9.38121,46.19208,B,03/15/2022 06:14:02,Argos,0,116,NN,,401677373.63,03/15/2022 06:15:00,1,2,0,-124,401677373.63,46.19208,-9.38121,46.19208,-9.38121,6,3,1021,8165,127,31,2873,224,0,0,4,1,0,19,144,0,3,132,0,3,121,0,3,112,0,3,107,0,3,106,204,156,217,250,,,,,
"Cm Akupara",226017,7314,,,,,,,0,SR,,401650000,03/15/2022 14:11:10,1,1,,,401650000,,,,,,,,,,,,224,0,0,3,245,1,35,248,1,19,247,1,19,247,0,163,247,1,179,249,1,179,248,140,61,163,247,,,,,
"Cm Akupara",226017,7314,-9.36803,46.17287,B,03/15/2022 14:45:03,Argos,0,0,NK,,401677374.5,03/15/2022 14:45:03,1,1,0,-137,401677374.5,46.17287,-9.36803,46.17287,-9.36803,8,3,2836,3761,2137,84,8014,224,0,0,3,236,0,195,246,17,3,245,0,131,246,1,19,246,3,19,246,3,2,214,106,131,127,104,,,,,
"Cm Akupara",226017,7314,-9.40691,46.18836,B,03/15/2022 20:29:10,Argos,0,45,NN,,401677379.81,03/15/2022 20:28:47,1,2,0,-132,401677379.81,46.18836,-9.40691,46.18836,-9.40691,8,3,2745,9406,800,80,7759,83,43,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
